house_id,bathrooms,rooms,price_per_m2,location,longitude,latitude
0,2.0,3,4760.714285714285,"Benfica, Lisboa",-9.195298604626885,38.738026950000005
1,2.0,3,2087.7716233489564,"Casal de Cambra, Sintra, Lisboa",-9.2307698,38.8005207
2,3.0,4,5477.707006369426,"Parque das Nações, Lisboa",-9.0953729,38.7638712
3,1.0,2,3437.5,"Carnaxide e Queijas, Oeiras, Lisboa",-9.244178908941116,38.72609605
4,1.0,2,2833.333333333333,"Águas Livres, Amadora, Lisboa",-9.2204373553897,38.7455524
5,2.0,2,6547.619047619048,"Alcântara, Lisboa",-9.1828759210045,38.71105735
6,4.0,5,3822.58064516129,"Sacavém e Prior Velho, Loures, Lisboa",-9.111521688666812,38.7944189
7,3.0,2,8952.380952380952,"Campo de Ourique, Lisboa",-9.16522274104384,38.7182127
8,1.0,1,8270.833333333334,"Avenidas Novas, Lisboa",-9.149824916390864,38.73643625
9,4.0,5,13036.80981595092,"Campo de Ourique, Lisboa",-9.16522274104384,38.7182127
10,4.0,3,11354.83870967742,"Avenidas Novas, Lisboa",-9.149824916390864,38.73643625
11,4.0,4,13444.976076555024,"Avenidas Novas, Lisboa",-9.149824916390864,38.73643625
12,3.0,3,10955.882352941177,"São Vicente, Lisboa",-9.125071258424402,38.71834765
13,4.0,3,9495.412844036697,"Avenidas Novas, Lisboa",-9.149824916390864,38.73643625
14,2.0,3,3492.6470588235293,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras, Lisboa",-9.228878991510486,38.705234950000005
15,,3,2312.0,"Venteira, Amadora, Lisboa",-9.240497507432714,38.74675855
16,,2,2727.2727272727275,"Águas Livres, Amadora, Lisboa",-9.2204373553897,38.7455524
17,,3,2785.714285714286,"Águas Livres, Amadora, Lisboa",-9.2204373553897,38.7455524
18,2.0,2,7230.7692307692305,"Santa Maria Maior, Lisboa",-9.13281443966602,38.71244015
19,3.0,3,4280.575539568345,"Carnaxide e Queijas, Oeiras, Lisboa",-9.244178908941116,38.72609605
20,4.0,3,6126.760563380281,"Cascais e Estoril, Cascais, Lisboa",-9.45676719216982,38.71503215
